time_req_entrance,time_req_pharmacy,time_req_registration,time_req_waiting_area,size_entrance_x,size_entrance_y,size_pharmacy_x,size_pharmacy_y,size_registration_x,size_registration_y,size_waiting_area_x,size_waiting_area_y,creation_rate,infected_rate,transmission_rate,transmissions,agents,average_transmissions
10,15,20,57,20,10,8,8,5,5,10,10,0.1,0.1,0.1,6.04,99.15,0.06037763547532822
10,15,20,58,20,10,8,8,5,5,10,10,0.1,0.1,0.1,5.72,99.55,0.05660023780916032
10,15,20,59,20,10,8,8,5,5,10,10,0.1,0.1,0.1,5.48,99.35,0.05467420918470676
10,15,20,60,20,10,8,8,5,5,10,10,0.1,0.1,0.1,6.41,99.04,0.06427607522121978
10,15,20,61,20,10,8,8,5,5,10,10,0.1,0.1,0.1,6.07,100.92,0.05933892600990401
10,15,20,62,20,10,8,8,5,5,10,10,0.1,0.1,0.1,6.16,99.49,0.061146052580854544
10,15,20,63,20,10,8,8,5,5,10,10,0.1,0.1,0.1,6.22,100.76,0.060790493040557794
10,15,20,64,20,10,8,8,5,5,10,10,0.1,0.1,0.1,6.18,101.29,0.05986503797613224
10,15,20,65,20,10,8,8,5,5,10,10,0.1,0.1,0.1,6.11,98.14,0.06142687872718226
10,15,20,66,20,10,8,8,5,5,10,10,0.1,0.1,0.1,6.18,100.24,0.06096948494902612
10,15,20,67,20,10,8,8,5,5,10,10,0.1,0.1,0.1,6.57,100.65,0.06472705442361991
10,15,20,68,20,10,8,8,5,5,10,10,0.1,0.1,0.1,6.82,100.44,0.06666961752185523
10,15,20,69,20,10,8,8,5,5,10,10,0.1,0.1,0.1,6.13,100.31,0.06008962625366452
10,15,20,70,20,10,8,8,5,5,10,10,0.1,0.1,0.1,7.33,100.64,0.07187862317516862
10,15,20,71,20,10,8,8,5,5,10,10,0.1,0.1,0.1,5.91,99.73,0.05860312121552218
10,15,20,72,20,10,8,8,5,5,10,10,0.1,0.1,0.1,6.48,100.64,0.06416035631461985
10,15,20,73,20,10,8,8,5,5,10,10,0.1,0.1,0.1,6.57,101.83,0.06355659581414995
10,15,20,74,20,10,8,8,5,5,10,10,0.1,0.1,0.1,6.58,101.03,0.06475797830382914
10,15,20,75,20,10,8,8,5,5,10,10,0.1,0.1,0.1,6.15,99.0,0.061733097900462795
10,15,20,76,20,10,8,8,5,5,10,10,0.1,0.1,0.1,6.62,101.02,0.0649939309093305
10,15,20,77,20,10,8,8,5,5,10,10,0.1,0.1,0.1,6.69,101.07,0.06508491257504968
10,15,20,78,20,10,8,8,5,5,10,10,0.1,0.1,0.1,5.64,100.49,0.055678805021643685
10,15,20,79,20,10,8,8,5,5,10,10,0.1,0.1,0.1,6.65,99.54,0.06670995068701274
10,15,20,80,20,10,8,8,5,5,10,10,0.1,0.1,0.1,5.56,99.54,0.05571655978189567
10,15,20,81,20,10,8,8,5,5,10,10,0.1,0.1,0.1,6.55,99.77,0.06480711074990225
10,15,20,82,20,10,8,8,5,5,10,10,0.1,0.1,0.1,6.1,99.56,0.06034496155785964
10,15,20,83,20,10,8,8,5,5,10,10,0.1,0.1,0.1,6.42,100.62,0.06269512032017564
10,15,20,84,20,10,8,8,5,5,10,10,0.1,0.1,0.1,6.36,98.59,0.06353241095644668
10,15,20,85,20,10,8,8,5,5,10,10,0.1,0.1,0.1,6.56,101.41,0.0644393422366126
10,15,20,86,20,10,8,8,5,5,10,10,0.1,0.1,0.1,6.82,101.21,0.06672065754249519
10,15,20,87,20,10,8,8,5,5,10,10,0.1,0.1,0.1,6.5,99.19,0.06496880110124185
10,15,20,88,20,10,8,8,5,5,10,10,0.1,0.1,0.1,6.53,100.24,0.06428902939209873
10,15,20,89,20,10,8,8,5,5,10,10,0.1,0.1,0.1,6.42,100.13,0.06387220088987382
10,15,20,90,20,10,8,8,5,5,10,10,0.1,0.1,0.1,6.53,101.2,0.06375923950043894
10,15,20,91,20,10,8,8,5,5,10,10,0.1,0.1,0.1,6.43,100.36,0.06364745333223439
10,15,20,92,20,10,8,8,5,5,10,10,0.1,0.1,0.1,5.95,97.94,0.05970455088250813
10,15,20,93,20,10,8,8,5,5,10,10,0.1,0.1,0.1,6.43,99.53,0.06399921665764373
10,15,20,94,20,10,8,8,5,5,10,10,0.1,0.1,0.1,7.14,99.8,0.07003590278494125
10,15,20,95,20,10,8,8,5,5,10,10,0.1,0.1,0.1,5.83,99.73,0.058086232885155624
10,15,20,96,20,10,8,8,5,5,10,10,0.1,0.1,0.1,5.5,99.73,0.055116301872538666
10,15,20,97,20,10,8,8,5,5,10,10,0.1,0.1,0.1,5.87,99.86,0.05845708911572726
10,15,20,98,20,10,8,8,5,5,10,10,0.1,0.1,0.1,6.46,98.92,0.06421504545084479
10,15,20,99,20,10,8,8,5,5,10,10,0.1,0.1,0.1,7.1,100.94,0.06939240829116941
10,15,20,100,20,10,8,8,5,5,10,10,0.1,0.1,0.1,6.89,100.46,0.06850745884564793
10,15,20,101,20,10,8,8,5,5,10,10,0.1,0.1,0.1,6.48,100.6,0.06378403528625565
10,15,20,102,20,10,8,8,5,5,10,10,0.1,0.1,0.1,6.76,99.78,0.0670371664674219
10,15,20,103,20,10,8,8,5,5,10,10,0.1,0.1,0.1,6.34,98.61,0.06435602256523248
10,15,20,104,20,10,8,8,5,5,10,10,0.1,0.1,0.1,6.31,100.35,0.062002649334652285
10,15,20,105,20,10,8,8,5,5,10,10,0.1,0.1,0.1,6.94,98.87,0.06907742773781714
10,15,20,106,20,10,8,8,5,5,10,10,0.1,0.1,0.1,6.86,99.97,0.06828817214857134
10,15,20,107,20,10,8,8,5,5,10,10,0.1,0.1,0.1,6.84,99.6,0.06851239321361093
10,15,20,108,20,10,8,8,5,5,10,10,0.1,0.1,0.1,6.88,101.36,0.06728911145925798
10,15,20,109,20,10,8,8,5,5,10,10,0.1,0.1,0.1,6.02,98.64,0.06053195098381714
10,15,20,110,20,10,8,8,5,5,10,10,0.1,0.1,0.1,6.71,99.31,0.06673829770709537
10,15,20,111,20,10,8,8,5,5,10,10,0.1,0.1,0.1,6.49,99.65,0.0640596305356669
10,15,20,112,20,10,8,8,5,5,10,10,0.1,0.1,0.1,6.83,98.72,0.06829277941848638
10,15,20,113,20,10,8,8,5,5,10,10,0.1,0.1,0.1,6.29,100.0,0.06226474308274485
10,15,20,114,20,10,8,8,5,5,10,10,0.1,0.1,0.1,7.28,99.52,0.07246919574444488
10,15,20,115,20,10,8,8,5,5,10,10,0.1,0.1,0.1,6.74,100.4,0.06614934550832824
10,15,20,116,20,10,8,8,5,5,10,10,0.1,0.1,0.1,6.06,100.07,0.059484415757177375
10,15,20,117,20,10,8,8,5,5,10,10,0.1,0.1,0.1,5.9,97.82,0.05968377780126359
10,15,20,118,20,10,8,8,5,5,10,10,0.1,0.1,0.1,6.62,99.74,0.06568558335418506
10,15,20,119,20,10,8,8,5,5,10,10,0.1,0.1,0.1,7.02,99.96,0.0694138244767321
